month,date_of_month,births
3,28,11375.466666666667
3,29,10855.8
3,30,10284.166666666666
3,31,10329.633333333333
4,1,10126.766666666666
4,2,11335.533333333333
4,3,11134.033333333333
4,4,11447.1
4,5,10922.5
4,6,10491.466666666667
4,7,10527.1
4,8,10582.466666666667
4,9,10958.633333333333
4,10,11383.933333333332
4,11,11197.8
4,12,10963.466666666667
4,13,9935.7
4,14,10472.3
4,15,10649.533333333333
4,16,10959.666666666666
4,17,11273.733333333334
4,18,11168.533333333333
4,19,10792.033333333333
4,20,10567.7
4,21,10268.8
4,22,10581.0
4,23,11055.633333333333
4,24,11076.033333333333
4,25,11133.533333333333
4,26,11041.033333333333
4,27,10460.433333333332
4,28,10476.4
4,29,10652.6
4,30,10977.433333333332
5,1,11282.1
5,2,11491.966666666667
5,3,11111.933333333332
5,4,10518.033333333333
5,5,10645.433333333332
5,6,10604.266666666666
5,7,11099.433333333332
5,8,11222.866666666667
5,9,11186.233333333334
5,10,11184.033333333333
5,11,10395.433333333332
5,12,10644.866666666667
5,13,10680.933333333332
5,14,11176.4
5,15,11369.1
5,16,11414.466666666667
5,17,11033.033333333333
5,18,10784.5
5,19,10590.7
5,20,11057.4
5,21,11396.666666666666
5,22,11546.633333333333
5,23,11756.5
5,24,11386.7
5,25,10641.833333333334
5,26,9849.1
5,27,10137.866666666667
5,28,11080.833333333334
5,29,11018.833333333334
5,30,11443.3
5,31,10874.533333333333
6,1,10910.466666666667
6,2,10970.633333333333
6,3,11097.733333333334
6,4,11422.566666666668
6,5,11413.933333333332
6,6,11498.833333333334
6,7,11159.4
6,8,10773.466666666667
6,9,10874.0
6,10,10902.933333333332
6,11,11528.566666666668
6,12,11447.333333333334
6,13,11315.466666666667
6,14,11193.533333333333
6,15,10764.866666666667
6,16,10824.866666666667
6,17,11181.1
6,18,11442.366666666667
6,19,11425.933333333332
6,20,11670.5
6,21,11321.633333333333
6,22,10992.3
6,23,10851.766666666666
6,24,11160.4
6,25,11554.6
6,26,11776.966666666667
6,27,11772.9
6,28,11545.6
6,29,10910.1
6,30,11244.766666666666
7,1,11625.733333333334
7,2,11997.266666666666
7,3,11868.8
7,4,9109.766666666666
7,5,10597.566666666668
7,6,11083.533333333333
7,7,11642.633333333333
7,8,11594.166666666666
7,9,11940.466666666667
7,10,12142.0
7,11,12144.633333333333
7,12,11772.1
7,13,10699.7
7,14,11403.566666666668
7,15,11344.833333333334
7,16,11761.733333333334
7,17,11908.3
7,18,12065.666666666666
7,19,11636.733333333334
7,20,10964.333333333334
7,21,11197.766666666666
7,22,11338.9
7,23,11883.366666666667
7,24,11836.766666666666
7,25,11968.6
7,26,11577.033333333333
7,27,10985.4
7,28,11200.966666666667
7,29,11301.233333333334
7,30,11903.333333333334
7,31,11747.166666666666
8,1,11954.0
8,2,11601.6
8,3,10996.266666666666
8,4,11094.766666666666
8,5,11417.433333333332
8,6,11787.066666666668
8,7,11903.7
8,8,12137.533333333333
8,9,11635.533333333333
8,10,11026.433333333332
8,11,11114.366666666667
8,12,11411.166666666666
8,13,11445.0
8,14,11941.0
8,15,12071.366666666667
8,16,11843.333333333334
8,17,11168.733333333334
