year,month,date_of_month,day_of_week,births
2005,10,18,1,11021
2005,10,19,2,12354
2005,10,20,3,11830
2005,10,21,4,11960
2005,10,22,5,11912
2005,10,23,6,8404
2005,10,24,7,7465
2005,10,25,1,11077
2005,10,26,2,12221
2005,10,27,3,11654
2005,10,28,4,11693
2005,10,29,5,11534
2005,10,30,6,8488
2005,10,31,7,7495
2005,11,1,1,10839
2005,11,2,2,12098
2005,11,3,3,11803
2005,11,4,4,11806
2005,11,5,5,11868
2005,11,6,6,8533
2005,11,7,7,7481
2005,11,8,1,11049
2005,11,9,2,12092
2005,11,10,3,11632
2005,11,11,4,11802
2005,11,12,5,11556
2005,11,13,6,8349
2005,11,14,7,7526
2005,11,15,1,10928
2005,11,16,2,12263
2005,11,17,3,11665
2005,11,18,4,11908
2005,11,19,5,12128
2005,11,20,6,8630
2005,11,21,7,7514
2005,11,22,1,12104
2005,11,23,2,12804
2005,11,24,3,11409
2005,11,25,4,7529
2005,11,26,5,8892
2005,11,27,6,8024
2005,11,28,7,7418
2005,11,29,1,11095
2005,11,30,2,12544
2005,12,1,3,12282
2005,12,2,4,11976
2005,12,3,5,11591
2005,12,4,6,8333
2005,12,5,7,7503
2005,12,6,1,10956
2005,12,7,2,12329
2005,12,8,3,11849
2005,12,9,4,11728
2005,12,10,5,11459
2005,12,11,6,8442
2005,12,12,7,7528
2005,12,13,1,10830
2005,12,14,2,12667
2005,12,15,3,12623
2005,12,16,4,12441
2005,12,17,5,12453
2005,12,18,6,8979
2005,12,19,7,7732
2005,12,20,1,12497
2005,12,21,2,13508
2005,12,22,3,12166
2005,12,23,4,10591
2005,12,24,5,8046
2005,12,25,6,6674
2005,12,26,7,7432
2005,12,27,1,11579
2005,12,28,2,13158
2005,12,29,3,12629
2005,12,30,4,11935
2005,12,31,5,9335
2006,1,1,6,8843
2006,1,2,7,7816
2006,1,3,1,11123
2006,1,4,2,12703
2006,1,5,3,12240
2006,1,6,4,12260
2006,1,7,5,12280
2006,1,8,6,8750
2006,1,9,7,7736
2006,1,10,1,11418
2006,1,11,2,12323
2006,1,12,3,12057
2006,1,13,4,11556
2006,1,14,5,11924
2006,1,15,6,8365
2006,1,16,7,7499
2006,1,17,1,10601
2006,1,18,2,12086
2006,1,19,3,12083
2006,1,20,4,12188
2006,1,21,5,11667
2006,1,22,6,8633
2006,1,23,7,7712
2006,1,24,1,11184
2006,1,25,2,12253
2006,1,26,3,11879
2006,1,27,4,12136
2006,1,28,5,11673
2006,1,29,6,8635
